"%1$s incl tax.","%1$s incl. impuestos."
"Please, check your email for confirmation key.","Por favor, revise su correo electrónico y busque la clave de confirmación. Si dicho correo electrónico no aparece en su buzón de entrada, revise su carpeta de correo basura o equivalente (Spam/Bulk/Junk)."
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Price","Precio"
"Product","Artículo"
"Product ID","ID de artículo"
"Product Name","Nombre del artículo"
"Product Reviews","Reseñas de artículo"
"Product Tags","Etiquetas de artículo"
"Purchase On","Comprado en "
"Purchased At","Comprado el"
"Purchased On","Comprado en"
"Please type the letters and numbers below","POR FAVOR, ESCRIBA LAS LETRAS Y NÚMEROS A CONTINUACIÓN"
"Qty","Cantidad"
"Recent Orders","Pedidos recientes"
"Records for %s store found.","Registros encontrado para la tienda %s."
"Recovery Link Expiration Period (days)","Periodo de caducidad del enlace de recuperación (en días)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado"
"Register","Registrarse"
"Registered Customers","Clientes registrados"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Remind Password","Recordar contraseña"
"Remove","Eliminar"
"Reload captcha","Generar captcha"
"Remove address","Eliminar dirección"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Require admin user to change user password","Usuario con derechos de administrador requerido para cambiar la contraseña del usuario"
"Reset a Password","Reinicializar contraseña"
"Retrieve address data","Recuperar datos de la dirección"
"Retrieve address info","Recuperar información de la dirección"
"Retrieve customer addresses","Recuperar direcciones del cliente"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customer groups","Recuperar grupos del cliente"
"Retrieve customer info","Recuperar información del cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recupere aquí su enlace de confirmación"
"Retrieve your password here","Recupere aquí su contraseña"
"Reload captcha","RECARGA EL CAPTHA"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales Statistics","Estadísticas de ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save Password","Guardar contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","%s registro(s) guardado(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto y coma (;).<br/>Coloque un punto y coma al comienzo para dejar la primera opción vacía.<br/>Deje el primer lugar vacío para crear un campo de texto abierto."
"Send Auto-Generated Password","Enviar la contraseña generada automáticamente"
"Send From","Enviar desde"
"Send Welcome Email","Enviar mensaje de correo electrónico de bienvenida"
"Send Welcome Email after Confirmation","Enviar mensaje de correo electrónico de bienvenida después de la confirmación"
"Send auto-generated password","Enviar contraseña autogenerada"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio de la sesión"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to First Name","Enviado a Nombre"
"Shipped to Last Name","Enviado a Apellidos"
"Shipped to Name","Enviado a Nombre"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de compras - %d artículo(s)"
"Shopping Cart of %1$s - %2$d item(s)","Carrito de compras de %1$s a %2$s artículos"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Show VAT Number on Frontend","Mostrar el número del IVA en el Frontend"
"Sign Up for Newsletter","Registrarse al boletín informativo"
Sign in with %1,Ingresa con %1
"Sign In","Iniciar sesión"
"Sign Out", "Cerrar sesión"
"Skipping import row, required field ""%s"" is not defined.","Omitir la importación de la fila. El campo requerido ""%s"" no está definido."
"Skipping import row, website ""%s"" field does not exist.","Omitir la importación de la fila. El campo del sitio web ""%s"" no existe."
"State/Province","Estado/Provincia"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de tienda"
"Street Address","Calle"
"Street Address ","Calle"
"Street Address %s","Calle %s"
"Subject","Asunto"
"Sign in with %1","Conectarse con %1"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribirse al boletín informativo"
"Subscribed to Newsletter?","¿Está suscrito al boletín informativo?"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Tag Name","Nombre de la etiqueta"
"Tax Calculation Based On","Cálculo de impuestos basado en"
"Tax Class","Clase impositiva"
"Tax/VAT Number","Número de IVA/impuestos"
"Tax/VAT number","Número de IVA/impuestos"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto en una línea"
"Thank you for registering with %s.","Gracias por registrarse en %s."
"The Date of Birth is required.","Se requiere la fecha de nacimiento."
"The TAX/VAT number is required.","Se requiere el número de IVA."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","El ID de IVA introducido (%s) no es un ID de IVA válido. El cliente podría pertenecer al grupo de clientes %s."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The account information has been saved.","Se guardó la información de la cuenta."
"The address does not belong to this customer.","La dirección no pertenece a este cliente."
"The address has been deleted.","Se eliminó la dirección."
"The address has been saved.","Se guardó la dirección."
"The customer ID and email did not match, skipping the record, line: %s","El ID de cliente y el correo electrónico no coinciden, saltando el registro, línea: %s"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The customer email (%s) already exists, skipping the record, line: %s","La dirección de correo (%s) del cliente ya existe, saltando el registro, línea: %s"
"The customer group has been deleted.","El grupo del cliente fue borrado."
"The customer group has been saved.","El grupo del cliente fue guardado."
"The customer is currently assigned to Customer Group %s.","El cliente está asignado actualmente al grupo de cliente %s."
"The first name cannot be empty.","Rellene el campo nombre."
"The group ""%s"" cannot be deleted","El grupo ""%s"" no puede ser borrado."
"The group ""%s"" cannot be deleted.","El grupo ""%s"" no puede ser borrado."
"The last name cannot be empty.","Rellene el campo apellidos."
"The minimum password length is %s","La longitud mínima de la contraseña es de %s."
"The password cannot be empty.","Rellene el campo contraseña."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Se ignorarán los espacios antes o después."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"There are no items in customer's wishlist at the moment","No hay artículos en la lista de deseos del cliente en este momento."
"There are no items in customer\'s shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que esa es su dirección de correo electrónico, <a href=""%s"">pulse aquí</a> para conseguir su contraseña y acceder a su cuenta."
"There was an error validating the VAT ID.","Ha habido un error validando el ID de IVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Ha habido un error validando el ID de IVA. El cliente podría pertenecer al grupo de cliente %s."
"This account is not confirmed.","Esta cuenta no está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. Haga <a href=""%s"">clic aquí</a> para solicitar de nuevo la confirmación por e-mail."
"This customer email already exists","Este correo electrónico de cliente ya existe."
"This customer email already exists.","Este correo electrónico de cliente ya existe."
